name,file,url
Блины с ягодным вареньем и сметаной,bliny s yagodnym varenem i smetanoy.jpg,https://media.dodostatic.com/image/r:520x520/019554b2a478736d861b2ade852ac7f3.jpg
Омлет,omlet.jpg,https://media.dodostatic.com/image/r:520x520/01954cf7c8de7993ab2ca41d11b11453.jpg
Омлет с ветчиной и сыром,omlet s vetchinoy i syrom.jpg,https://media.dodostatic.com/image/r:520x520/0195574f561d7437bc9fac50f74d63f6.jpg
Сырники,syrniki.jpg,https://media.dodostatic.com/image/r:520x520/019592e2ab53713b940e748eeffa4aa8.jpg
Цезарь с курицей,cezar s kuricey.jpg,https://media.dodostatic.com/image/r:520x520/0195524f135c791cbee26514a744768a.jpg
Цезарь с креветками,cezar s krevetkami.jpg,https://media.dodostatic.com/image/r:520x520/019a2993924b77ea8706456a7ce1ffdc.jpg
Греческий,grecheskiy.jpg,https://media.dodostatic.com/image/r:520x520/019554b8d70770d69b6f22a22296d62a.jpg
Бичо,bicho.jpg,https://media.dodostatic.com/image/r:520x520/01978db6848d7244812e94b28b25fdcb.jpg
Грузия,gruziya.jpg,https://media.dodostatic.com/image/r:520x520/019791ab0e1b7019a2a9783334b26b54.jpg
Лобио по-кавказски,lobio pokavkazski.jpg,https://media.dodostatic.com/image/r:520x520/019a0040305f79b68b499ff08de073d8.jpg
Овощной,ovoschnoy.jpg,https://media.dodostatic.com/image/r:520x520/019554ca9098793b8378bcd938ad57dd.jpg
Тбилиси,tbilisi.jpg,https://media.dodostatic.com/image/r:520x520/019632e2a95c76f2b8392e583a6cafc7.jpg
Солянка сборная,solyanka sbornaya.jpg,https://media.dodostatic.com/image/r:520x520/019585c9140478d38bfc63735fbff65d.jpg
Борщ,borsch.jpg,https://media.dodostatic.com/image/r:520x520/019585c3596475b39cc52b68bf2f4d27.jpg
Суп куриный,sup kurinyy.jpg,https://media.dodostatic.com/image/r:520x520/0199fb4235d2728fb4d3d27e7bce37c4.jpg
Бефстроганов,befstroganov.jpg,https://media.dodostatic.com/image/r:520x520/019632e18d147874a0c39aa1522c3c46.jpg
Пюре с котлетой из минтая,pyure s kotletoy iz mintaya.jpg,https://media.dodostatic.com/image/r:520x520/01977dac06f37272b3df75840772774c.jpg
Карбонара,karbonara.jpg,https://media.dodostatic.com/image/r:520x520/0195483b8d3475f19718967e2be99fbd.jpg
Спагетти с грибами,spagetti s gribami.jpg,https://media.dodostatic.com/image/r:520x520/019554bc684273e59a9ccd72d5487ed1.jpg
Спагетти с курицей и грибами,spagetti s kuricey i gribami.jpg,https://media.dodostatic.com/image/r:520x520/019554bdd5ec75879d41ab605b69c6f7.jpg
Паста с креветками,pasta s krevetkami.jpg,https://media.dodostatic.com/image/r:520x520/01977dae39a2762db30fc977dad0923b.jpg
Фетучини с курицей,fetuchini s kuricey.jpg,https://media.dodostatic.com/image/r:520x520/01975f1e083a79c3be82f0507d5ef0b3.jpg
Свиной шашлык. Шейка,svinoy shashlyk. sheyka.jpg,https://media.dodostatic.com/image/r:520x520/01954d40c62d74b38f432c4f7ea50355.jpg
Свиной шашлык. Карбонат,svinoy shashlyk. karbonat.jpg,https://media.dodostatic.com/image/r:520x520/019554bffea4760a9923130395e4453d.jpg
Куриный люля - кебаб,kurinyy lyulya  kebab.jpg,https://media.dodostatic.com/image/r:520x520/01954d419ae9721488d54ae3820dc7c6.jpg
Долма с виноградными листьями,dolma s vinogradnymi listyami.jpg,https://media.dodostatic.com/image/r:520x520/0195480df75a766291b8ef322f40d286.jpg
Кер у сус (Ешь и молчи),ker u sus esh i molchi.jpg,https://media.dodostatic.com/image/r:520x520/01954814b0c27352a39adb7c46f368bc.jpg
Оджахури,odzhahuri.jpg,https://media.dodostatic.com/image/r:520x520/0199fb475f4b74b0af1fd90a17a146e4.jpg
Картофель печеный,kartofel pechenyy.jpg,https://media.dodostatic.com/image/r:520x520/01978c8e560770f78cb3ca454111cf5b.jpg
Кета запечная с рисом,keta zapechnaya s risom.jpg,https://media.dodostatic.com/image/r:520x520/0195859e38c8766b9c9384ac5fabe9ba.jpg
Ассорти из колбасок,assorti iz kolbasok.jpg,https://media.dodostatic.com/image/r:520x520/019a299ba04d70539292800414ac85d4.jpg
Запеченные шампиньоны,zapechennye shampinony.jpg,https://media.dodostatic.com/image/r:520x520/0197ef2ee4f8758bbb9d389a9bf993b9.jpg
Хинкали традиционные,hinkali tradicionnye.jpg,https://media.dodostatic.com/image/r:520x520/019a0041c8577277af068ece830c9762.jpg
Хинкали обжаренные,hinkali obzharennye.jpg,https://media.dodostatic.com/image/r:520x520/019548424c3473528cd8b4e78f60fa34.jpg
Хинкали с грибами и сыром,hinkali s gribami i syrom.jpg,https://media.dodostatic.com/image/r:520x520/019547f6849e721eb9ad5cb513e26b71.jpg
Хинкали с сыром,hinkali s syrom.jpg,https://media.dodostatic.com/image/r:520x520/019547fe188472728880c515928d9579.jpg
Мини хинкали в бульоне,mini hinkali v bulone.jpg,https://media.dodostatic.com/image/r:520x520/01963de60db0793f83a4b65357f5c44e.jpg
Хачапури по-аджарски,hachapuri poadzharski.jpg,https://media.dodostatic.com/image/r:520x520/019547ffaa0875cbb87ca2163fb8d3ba.jpg
Хачапури по-мегрельски,hachapuri pomegrelski.jpg,https://media.dodostatic.com/image/r:520x520/0195480318db714fa20785651c0ad66f.jpg
Хачапури по-имеретински,hachapuri poimeretinski.jpg,https://media.dodostatic.com/image/r:520x520/0195480603847059919087df1b63ee73.jpg
Хачапури со шпинатом,hachapuri so shpinatom.jpg,https://media.dodostatic.com/image/r:520x520/01978db302d1742584cac669d51f0cf5.jpg
Хачапури с грибами,hachapuri s gribami.jpg,https://media.dodostatic.com/image/r:520x520/01954809b86574b4bb095993525ea6ea.jpg
Пирог с мясом и сыром,pirog s myasom i syrom.jpg,https://media.dodostatic.com/image/r:520x520/01996b2311c7777aa4106e4339cbf836.jpg
Хлеб домашний,hleb domashniy.jpg,https://media.dodostatic.com/image/r:520x520/019569aa8ee0759180c581d8f2dd7328.jpg
Лаваш,lavash.jpg,https://media.dodostatic.com/image/r:520x520/019569aa04987074ba5c1e59811459be.jpg
Ветчина и грибы,vetchina i griby.jpg,https://media.dodostatic.com/image/r:520x520/01954d399dda70dc95d11a78b53f8fc3.jpg
Мясная,myasnaya.jpg,https://media.dodostatic.com/image/r:520x520/01954d3c36cc7779a73c411c030b4f24.jpg
Пепперони,pepperoni.jpg,https://media.dodostatic.com/image/r:520x520/01954d3d03a975ecb5570e7d860c0d5b.jpg
Маргарита,margarita.jpg,https://media.dodostatic.com/image/r:520x520/01954d3e07c97205bff2ff752f249710.jpg
4 сыра,4 syra.jpg,https://media.dodostatic.com/image/r:520x520/01978c9ba250712495a92f8a2c741b2f.jpg
Флорида,florida.jpg,https://media.dodostatic.com/image/r:520x520/01954d3fa59170ac8b54dc4dd83cfe1f.jpg
Овощная нарезка,ovoschnaya narezka.jpg,https://media.dodostatic.com/image/r:520x520/01978db39c4276548d959b218f715d11.jpg
Ассорти из солений,assorti iz soleniy.jpg,https://media.dodostatic.com/image/r:520x520/01955777815579a5b6837a9232e5f88e.jpg
"Маслины , оливки и лимон",masliny  olivki i limon.jpg,https://media.dodostatic.com/image/r:520x520/019569b090d9759e8f083ac7bf14485a.jpg
Рыбная нарезка,rybnaya narezka.jpg,https://media.dodostatic.com/image/r:520x520/0197ef2d5670714487276104739d09f3.jpg
Мясное ассорти,myasnoe assorti.jpg,https://media.dodostatic.com/image/r:520x520/0197e91443ed77ee9496ee6c50f2ee5a.jpg
Сырная нарезка и зелень,syrnaya narezka i zelen.jpg,https://media.dodostatic.com/image/r:520x520/01978db4569472ecbf0878ec5767114c.jpg
Фруктовая нарезка,fruktovaya narezka.jpg,https://media.dodostatic.com/image/r:520x520/01978db4ec7d7170a7319c807505680f.jpg
Сырная нарезка,syrnaya narezka.jpg,https://media.dodostatic.com/image/r:520x520/0197e915508a7532b693b08000bb8aed.jpg
Картофель фри,kartofel fri.jpg,https://media.dodostatic.com/image/r:520x520/01954d4b32de73e3b8f4f4066be5823b.jpg
Картофельные дольки,kartofelnye dolki.jpg,https://media.dodostatic.com/image/r:520x520/01954d4bb7447020aebe8a76335f1902.jpg
Креветки в панировке,krevetki v panirovke.jpg,https://media.dodostatic.com/image/r:520x520/01954d4c288171e58cfbaf5d2f599e3b.jpg
Кольца кальмара,kolca kalmara.jpg,https://media.dodostatic.com/image/r:520x520/01954d4d08b7718ca0632f4c0272d0cc.jpg
Луковые кольца,lukovye kolca.jpg,https://media.dodostatic.com/image/r:520x520/01954d4d456c77d3a945bab5d07feff3.jpg
Крылья острые в панировке,krylya ostrye v panirovke.jpg,https://media.dodostatic.com/image/r:520x520/01954d4d95657527bf3a910a399413f3.jpg
Крылья барбекю,krylya barbekyu.jpg,https://media.dodostatic.com/image/r:520x520/01954d4dd1ce78b3a1e524b45ffb21af.jpg
Крылья баффоло,krylya baffolo.jpg,https://media.dodostatic.com/image/r:520x520/01954d61ce0c70538d5621c2acfafd31.jpg
Стрипсы,stripsy.jpg,https://media.dodostatic.com/image/r:520x520/01954d4ec1f67560a28cb10730ec1a36.jpg
Наггетсы,naggetsy.jpg,https://media.dodostatic.com/image/r:520x520/01954d626fd67045be5f0051ed4c3c2a.jpg
Куриный попкорн,kurinyy popkorn.jpg,https://media.dodostatic.com/image/r:520x520/01954d4f959977419a4ef62e033fd90a.jpg
Сырные палочки,syrnye palochki.jpg,https://media.dodostatic.com/image/r:520x520/01954d4fe99e76368197af270370af0b.jpg
Сырные шарики,syrnye shariki.jpg,https://media.dodostatic.com/image/r:520x520/01954d507162707cafc6c03d7ac46c9e.jpg
Чесночный соус,chesnochnyy sous.jpg,https://media.dodostatic.com/image/r:520x520/01954d5635497322bc52562a4ea59443.jpg
Соус сырный,sous syrnyy.jpg,https://media.dodostatic.com/image/r:520x520/01954d568a0375dcb73c4ea921e608d6.jpg
Соус томатный кетчуп,sous tomatnyy ketchup.jpg,https://media.dodostatic.com/image/r:520x520/01954d56f554707d8b66e1b94260ffaf.jpg
Чизкейк Нью-Йорк,chizkeyk nyuyork.jpg,https://media.dodostatic.com/image/r:520x520/01954d37ea2071a9baaa3a4fedcfcd5b.jpg
Чизкейк вишня и шоколад,chizkeyk vishnya i shokolad.jpg,https://media.dodostatic.com/image/r:520x520/01954d383e8f743b97ff6e7b14074efa.jpg
Чизкейк ассорти микс,chizkeyk assorti miks.jpg,https://media.dodostatic.com/image/r:520x520/01954d38a1d778f88a3b47f604a3464c.jpg
Круассан классический,kruassan klassicheskiy.jpg,https://media.dodostatic.com/image/r:520x520/019583f70643716ebe0044de6a8ae7f4.jpg
Круассан с Орехово -шоколадным вкусом,kruassan s orehovo shokoladnym vkusom.jpg,https://media.dodostatic.com/image/r:520x520/019583f95e9872aab3d84e3571d1bf95.jpg
Морс брусничный,mors brusnichnyy.jpg,https://media.dodostatic.com/image/r:520x520/0195524a41b5751bae72d1a6953b814e.jpg
Облепиховый морс,oblepihovyy mors.jpg,https://media.dodostatic.com/image/r:520x520/01955f4c0ab2765ebdac7e63a4214e5c.jpg
Компот из сухофруктов,kompot iz suhofruktov.jpg,https://media.dodostatic.com/image/r:520x520/019585ac9f6f71499f2e35e1e2886429.jpg
Морс Облепиховый,mors oblepihovyy.jpg,https://media.dodostatic.com/image/r:520x520/019585aa2d7a782fa99cad09a5d72ac2.jpg
Компот из сухофруктов,kompot iz suhofruktov_2.jpg,https://media.dodostatic.com/image/r:520x520/019585ad779e78d29aea74f399d04e64.jpg
Морс брусничный,mors brusnichnyy_2.jpg,https://media.dodostatic.com/image/r:520x520/01959fa0506570d19e8ad2db353dd234.jpg
Чай с горными травами,chay s gornymi travami.jpg,https://media.dodostatic.com/image/r:520x520/019585b75f7175eda0e5e7ce453ba902.jpg
Чай с чабрецом,chay s chabrecom.jpg,https://media.dodostatic.com/image/r:520x520/019585bd09f378d6aa2ae47596f83242.jpg
Чай из натуральных фруктов и ягод,chay iz naturalnyh fruktov i yagod.jpg,https://media.dodostatic.com/image/r:520x520/01961882ddcf740fa3f48545c6b75bfa.jpg
Чай зеленый с добавками растительного сырья,chay zelenyy s dobavkami rastitelnogo syrya.jpg,https://media.dodostatic.com/image/r:520x520/01961888d3b5757aa53e68c67ed70edb.jpg
Армянский кофе,armyanskiy kofe.jpg,https://media.dodostatic.com/image/r:520x520/019690dbd94376368398ebaf6c2b94c0.jpg
Чай Бейлис,chay beylis.jpg,https://media.dodostatic.com/image/r:520x520/01993cf9137772cf889506f6535f7200.jpg
Чай Сладкая Груша,chay sladkaya grusha.jpg,https://media.dodostatic.com/image/r:520x520/01993cf95e8c72b8bd8acf66de52e028.jpg
Чай черный Сказка леса,chay chernyy skazka lesa.jpg,https://media.dodostatic.com/image/r:520x520/01993cf991a87568ba6bdcc260f6bc62.jpg
Чай черный Манго-Маракуйя,chay chernyy mangomarakuyya.jpg,https://media.dodostatic.com/image/r:520x520/01993cfae9db7227b7eea743740ec741.jpg
